,UUID,Name,Manufacturer,Protocols Referenced,Verified
779288,HSPhCZIBPBHhf-iFnQwx,32 channel head coil,Siemens,1217,No
788610,FCLhCZIBPBHhf-iFeO0t,rnaprep pure plant kit,Tiangen Biotech,1213,No
581688,gSLhCZIBPBHhf-iFnfUu,anti cleaved caspase 3,Cell Signaling Technology,1212,No
579054,byPhCZIBPBHhf-iFtELH,spss software version 21,IBM,1211,No
790826,GJoOdZQB1-hLfrUP8Sbx,sw620,American Type Culture Collection,1211,No
779478,_yPhCZIBPBHhf-iFqz-b,bradford reagent,Bio-Rad,1210,No
590777,xiPhCZIBPBHhf-iFqxuX,miseq reagent kit v3,Illumina,1209,No
638320,UiLhCZIBPBHhf-iFnfMu,cck 8,Beyotime,1209,No
791417,6SLhCZIBPBHhf-iFeNkq,glutamine,Merck Group,1208,No
483981,oCLhCZIBPBHhf-iFeO4t,hyclone,GE Healthcare,1208,No
839298,XyLhCZIBPBHhf-iFnfMu,labview,National Instruments,1208,No
790295,2yLhCZIBPBHhf-iFnfov,spss version 28,IBM,1204,No
780414,zCLhCZIBPBHhf-iFnfkv,wistar rat,Charles River Laboratories,1200,No
726581,SSPhCZIBPBHhf-iFnQIv,citric acid,Merck Group,1199,No
637570,JiLhCZIBPBHhf-iFeNAp,male sprague dawley rat,Charles River Laboratories,1198,No
591086,WyLhCZIBPBHhf-iFeN0r,phusion high fidelity dna polymerase,New England Biolabs,1196,No
890114,tyriCZIBPBHhf-iFSkbP,akta pure,Cytiva,1195,Yes
794937,QSLhCZIBPBHhf-iFeNcq,liberase,Roche,1194,No
755515,kiPhCZIBPBHhf-iFnQQw,7 aad,BD,1194,No
591345,hSLhCZIBPBHhf-iFeOcs,spss statistics 27,IBM,1193,No
732359,tiLhCZIBPBHhf-iFeNUq,interleukin 6 (il 6),R&D Systems,1192,No
579049,mSLhCZIBPBHhf-iFnf4v,alexa fluor 568,Thermo Fisher Scientific,1190,No
726592,oCPhCZIBPBHhf-iFqx6Y,tri reagent,Thermo Fisher Scientific,1190,No
574426,JSPhCZIBPBHhf-iFqyKY,glomax multi detection system,Promega,1190,No
791889,ICPhCZIBPBHhf-iFtEfI,iodoacetamide,Merck Group,1189,No
590398,2SLhCZIBPBHhf-iFeO8t,anti β actin,Abcam,1185,No
790961,xiPhCZIBPBHhf-iFtF7L,spss software version 19,IBM,1184,No
637610,uyLhCZIBPBHhf-iFeM8p,bio plex 200 system,Bio-Rad,1184,No
637707,6CPhCZIBPBHhf-iFqyGY,nis element,Nikon,1183,No
790641,qyLhCZIBPBHhf-iFeNIq,iscove modified dulbecco media (imdm),Thermo Fisher Scientific,1180,No
591670,FCPhCZIBPBHhf-iFxqo_,a1r confocal microscope,Nikon,1179,No
579235,ViLhCZIBPBHhf-iFnfov,sodium acetate,Merck Group,1179,No
790666,DSPhCZIBPBHhf-iFtETH,spss software version 16,IBM,1177,No
571548,IZ3FHJMBdNj1hjtAk2Z8,sigmaplot 11,Grafiti LLC,1175,No
791401,ViLhCZIBPBHhf-iFeNAp,curcumin,Merck Group,1175,No
780411,9CLhCZIBPBHhf-iFnfcu,cck 8 assay,Dojindo Laboratories,1174,No
877621,xSLhCZIBPBHhf-iFnfwv,agilent 2100,Agilent Technologies,1173,No
637813,LSPhCZIBPBHhf-iFqxqX,powersoil dna isolation kit,Qiagen,1171,No
578172,ryLhCZIBPBHhf-iFeO4t,protease and phosphatase inhibitor,Roche,1170,No
579091,DyLhCZIBPBHhf-iFeOks,spss statistics for windows version 21,IBM,1169,No
726624,DSPhCZIBPBHhf-iFvG-K,96 well plate,Thermo Fisher Scientific,1169,No
591360,mSPhCZIBPBHhf-iFvICN,penicillin streptomycin p s,Thermo Fisher Scientific,1169,No
591431,eyPhCZIBPBHhf-iFqzKa,lsm 510 confocal microscope,Zeiss,1169,No
792508,ICLhCZIBPBHhf-iFeM8p,trizol,Merck Group,1168,No
751924,LCLhCZIBPBHhf-iFeOAr,cfx96 system,Bio-Rad,1167,No
580008,eyLhCZIBPBHhf-iFeOos,collagenase type 2,Worthington,1166,No
575345,1CPhCZIBPBHhf-iFtEPH,flexstation 3,Molecular Devices,1166,No
577730,oyPhCZIBPBHhf-iFnRAx,eclipse ti microscope,Nikon,1165,No
791657,iSPhCZIBPBHhf-iFnQIv,q exactive,Thermo Fisher Scientific,1165,No
751990,PCLhCZIBPBHhf-iFnf0v,cacl2,Merck Group,1164,No
591188,bSLhCZIBPBHhf-iFeOos,quantikine elisa kit,R&D Systems,1163,No
792677,cSLhCZIBPBHhf-iFeNAp,ly294002,Merck Group,1163,No
573362,sSLhCZIBPBHhf-iFeNwr,gotaq green master mix,Promega,1162,No
779500,9SLhCZIBPBHhf-iFeM0p,icycler,Bio-Rad,1160,No
592725,mSLhCZIBPBHhf-iFeOos,bca assay kit,Thermo Fisher Scientific,1157,No
755148,JSLhCZIBPBHhf-iFeOss,nextseq,Illumina,1155,No
779374,7CPhCZIBPBHhf-iFqz2b,transwell plate,Corning,1155,No
790790,qiPhCZIBPBHhf-iFtGLM,spss software version 17,IBM,1152,No
573093,EyPhCZIBPBHhf-iFq0Cb,dm2500,Leica,1151,No
751219,RCPhCZIBPBHhf-iFqyCY,pepsin,Merck Group,1150,No
790630,0CLhCZIBPBHhf-iFeO8t,isopropanol,Merck Group,1149,No
890122,3yjiCZIBPBHhf-iFK0dJ,amersham typhoon,Cytiva,1149,Yes
802289,myPhCZIBPBHhf-iFnRcy,spectramax 190,Molecular Devices,1147,No
577987,CCLhCZIBPBHhf-iFeNQq,pmd18 t vector,Takara Bio,1146,No
726701,BiPhCZIBPBHhf-iFnQ8x,confocal microscope,Leica,1146,No
577649,VSPhCZIBPBHhf-iFqy2Z,onestep rt pcr kit,Qiagen,1146,No
428275,553FHJMBdNj1hjtAk1xw,stata version 11,StataCorp,1145,No
572957,HiLhCZIBPBHhf-iFeOcs,quantstudio 3,Thermo Fisher Scientific,1144,No
726653,sCPhCZIBPBHhf-iFnQcw,lsrfortessa cell analyzer,BD,1144,No
791702,VyPhCZIBPBHhf-iFtFDJ,proteome discoverer,Thermo Fisher Scientific,1141,No
726607,QiLhCZIBPBHhf-iFnfov,catechin,Merck Group,1140,No
590433,JiLhCZIBPBHhf-iFeNwr,β catenin,Cell Signaling Technology,1138,No
574224,AyThCZIBPBHhf-iF692D,apex2,Bruker,1137,No
726733,uCLhCZIBPBHhf-iFeOQs,lysozyme,Merck Group,1136,No
726519,LSPhCZIBPBHhf-iFnRMx,protease inhibitor,Thermo Fisher Scientific,1135,No
579366,AyLhCZIBPBHhf-iFeM8p,imark microplate reader,Bio-Rad,1135,No
876730,ZyLhCZIBPBHhf-iFeOUs,originpro,OriginLab,1134,No
781678,UCLhCZIBPBHhf-iFeNcq,nextera xt dna library preparation kit,Illumina,1134,No
639920,IiLhCZIBPBHhf-iFeNYq,bioruptor,Diagenode,1133,No
753550,FiLhCZIBPBHhf-iFeNIp,chemidoc mp,Bio-Rad,1131,No
590744,6yPhCZIBPBHhf-iFnREx,duoset elisa kit,R&D Systems,1131,No
791649,NiLhCZIBPBHhf-iFnf0v,cm1950,Leica,1130,No
726719,WiLhCZIBPBHhf-iFnfov,caffeic acid,Merck Group,1130,No
728996,9yPhCZIBPBHhf-iFtELH,ingenia,Philips,1128,No
791781,miLhCZIBPBHhf-iFnfUu,dichloromethane,Merck Group,1127,No
791400,mSPhCZIBPBHhf-iFnRUy,cholesterol,Merck Group,1126,No
571583,zpoOdZQB1-hLfrUP8Sb3,mia paca 2,American Type Culture Collection,1125,No
726562,iiLhCZIBPBHhf-iFeM4p,perm wash buffer,BD,1124,No
591430,jiPhCZIBPBHhf-iFvHOL,geneamp pcr system 9700,Thermo Fisher Scientific,1123,No
876708,PZ3FHJMBdNj1hjtAk1xv,stata statistical software,StataCorp,1123,No
726608,cSThCZIBPBHhf-iF3m6u,vacutainer tube,BD,1123,No
454370,9iLhCZIBPBHhf-iFnf0v,ab15580,Abcam,1122,No
573089,PpoOdZQB1-hLfrUP8Sby,bxpc 3,American Type Culture Collection,1122,No
790512,ICPhCZIBPBHhf-iFqzSa,dnase,Thermo Fisher Scientific,1122,No
790459,1iPhCZIBPBHhf-iFqy-a,enhanced chemi luminescence (ecl),Thermo Fisher Scientific,1121,No
795310,LiLhCZIBPBHhf-iFeOYs,image lab,Bio-Rad,1121,No
751823,XCLhCZIBPBHhf-iFeNsq,lightcycler,Roche,1119,No
726635,eiLhCZIBPBHhf-iFnfku,trizol kit,Thermo Fisher Scientific,1116,No
579670,1CLhCZIBPBHhf-iFeNIq,dmem f12,Merck Group,1116,No
792775,lyLhCZIBPBHhf-iFnfYu,kanamycin,Merck Group,1115,No
591138,yyPhCZIBPBHhf-iFqz-b,a1 confocal microscope,Nikon,1115,No
791671,1SLhCZIBPBHhf-iFeOQs,collagenase 4,Merck Group,1113,No
592728,iiPhCZIBPBHhf-iFtErI,halt protease and phosphatase inhibitor cocktail,Thermo Fisher Scientific,1112,No
579031,HiLhCZIBPBHhf-iFePEt,spss statistics version 27,IBM,1112,No
573045,JSPhCZIBPBHhf-iFqx6Y,gelred,Biotium,1111,No
779005,bCPhCZIBPBHhf-iFnQIv,cck 8 reagent,Dojindo Laboratories,1111,No
592789,0SPhCZIBPBHhf-iFnQ8x,phosphatase inhibitor cocktail,Merck Group,1110,No
579073,zSLhCZIBPBHhf-iFeO8t,glacial acetic acid,Merck Group,1110,No
790867,VSLhCZIBPBHhf-iFeOIr,trifluoroacetic acid,Merck Group,1109,No
778860,RyLhCZIBPBHhf-iFeOss,axyprep dna gel extraction kit,Corning,1108,No
571908,hCPhCZIBPBHhf-iFnQUw,las x software,Leica,1108,No
571837,qSLhCZIBPBHhf-iFeM4p,abi prism 7900ht sequence detection system,Thermo Fisher Scientific,1107,No
877380,kyPhCZIBPBHhf-iFqxmX,pngase f,New England Biolabs,1106,No
799427,TyPhCZIBPBHhf-iFnQEv,e cadherin,Abcam,1106,No
790686,HCPhCZIBPBHhf-iFtEbH,spss software version 23,IBM,1103,No
790621,myPhCZIBPBHhf-iFvGiJ,methanol,Avantor,1101,No
572892,4yLhCZIBPBHhf-iFeNYq,pclamp 10,Molecular Devices,1101,No
726686,TCPhCZIBPBHhf-iFqzSa,purelink genomic dna mini kit,Thermo Fisher Scientific,1100,No
790976,yZ3FHJMBdNj1hjtAk2-E,fetal bovine serum (fbs),Gemini Bio,1100,No
726863,vCLhCZIBPBHhf-iFeN4r,cholera toxin,Merck Group,1100,No
791665,EyLhCZIBPBHhf-iFeN0r,matrigel,Merck Group,1099,No
876705,iiLhCZIBPBHhf-iFeNUq,il 1β,R&D Systems,1098,No
579316,wCLhCZIBPBHhf-iFnf8v,ix71 microscope,Olympus,1097,No
572474,gyPhCZIBPBHhf-iFtFTK,lsrfortessa x 20,BD,1096,No
751963,FCPhCZIBPBHhf-iFnQYw,rpmi 1640,Corning,1095,No
572546,5iLhCZIBPBHhf-iFeNwr,micro bca protein assay kit,Thermo Fisher Scientific,1094,No
586570,NCPhCZIBPBHhf-iFnQcw,p erk1 2,Cell Signaling Technology,1094,No
732347,wSPhCZIBPBHhf-iFnQsx,versamax,Molecular Devices,1092,No
572986,zSLhCZIBPBHhf-iFeNQq,tgf β1,Thermo Fisher Scientific,1092,No
793626,OyPhCZIBPBHhf-iFqyGY,forskolin,Merck Group,1091,No
590610,6SPhCZIBPBHhf-iFqyqZ,rq1 rnase free dnase,Promega,1091,No
578924,fCPhCZIBPBHhf-iFqzGa,caspase glo 3 7 assay,Promega,1090,No
877300,DCPhCZIBPBHhf-iFqzOa,igor pro,Wavemetrics,1089,No
637960,cSLhCZIBPBHhf-iFnfgu,gel extraction kit,Qiagen,1089,No
590337,qCPhCZIBPBHhf-iFnRMx,anti β actin antibody,Merck Group,1089,No
571942,YCLhCZIBPBHhf-iFeNkq,axiovert 200m microscope,Zeiss,1088,No
425378,4CPhCZIBPBHhf-iFqzea,spss statistics for windows version 24,IBM,1084,No
579229,ESLhCZIBPBHhf-iFeOks,hplc grade acetonitrile,Merck Group,1082,No
726599,6iPhCZIBPBHhf-iFy77h,rnalater solution,Thermo Fisher Scientific,1081,No
572616,qCLhCZIBPBHhf-iFeN0r,primescript rt master mix kit,Takara Bio,1080,No
726600,eyPhCZIBPBHhf-iFtFDJ,superfrost plus slide,Thermo Fisher Scientific,1079,No
726575,uiPhCZIBPBHhf-iFtEzJ,applied biosystems 7500 real time pcr system,Thermo Fisher Scientific,1076,No
484041,hiLhCZIBPBHhf-iFeO4t,4 6 diamidino 2 phenylindole (dapi),Solarbio,1075,No
731781,aSPhCZIBPBHhf-iFvHCK,stat3,Cell Signaling Technology,1075,No
572022,fSLhCZIBPBHhf-iFeNoq,glomax 20 20 luminometer,Promega,1075,No
590790,YyLhCZIBPBHhf-iFeOYs,q5 high fidelity dna polymerase,New England Biolabs,1075,No
726778,nyLhCZIBPBHhf-iFnfUu,n hexane,Merck Group,1074,No
790651,BCPhCZIBPBHhf-iFqxuX,prolong gold antifade mountant,Thermo Fisher Scientific,1074,No
790633,eSLhCZIBPBHhf-iFeO8t,knockout serum replacement (ksr),Thermo Fisher Scientific,1074,No
592907,hSLhCZIBPBHhf-iFeNwr,c1000 thermal cycler,Bio-Rad,1073,No
726629,n5oOdZQB1-hLfrUP8SXr,thp 1,American Type Culture Collection,1072,No
726777,WyLhCZIBPBHhf-iFeOQr,agencourt ampure xp bead,Beckman Coulter,1071,No
581648,aCLhCZIBPBHhf-iFnfcu,cell counting kit 8 cck 8,Beyotime,1070,No
591031,FCPhCZIBPBHhf-iFnQcw,phusion high fidelity dna polymerase,Thermo Fisher Scientific,1070,No
781921,miPhCZIBPBHhf-iFqyyZ,faststart universal sybr green master,Roche,1070,No
579055,4SLhCZIBPBHhf-iFeN8r,rhodamine phalloidin,Thermo Fisher Scientific,1070,No
578421,OiLhCZIBPBHhf-iFeOAr,horseradish peroxidase conjugated secondary antibody,Santa Cruz Biotechnology,1070,No
573209,_CPhCZIBPBHhf-iFvG2K,alexa fluor 555,Thermo Fisher Scientific,1070,No
579161,4SPhCZIBPBHhf-iFtEvI,pentobarbital sodium,Merck Group,1069,No
779493,ZCLhCZIBPBHhf-iFeM4p,qiaamp circulating nucleic acid kit,Qiagen,1066,No
873103,TiLhCZIBPBHhf-iFeN8r,n cadherin,Cell Signaling Technology,1066,No
732367,ESPhCZIBPBHhf-iFnQgw,cytoflex s,Beckman Coulter,1066,No
572880,IyPhCZIBPBHhf-iFvH-N,oct compound,Sakura Finetek,1065,No
571565,riPhCZIBPBHhf-iFtEjI,dmi6000b,Leica,1065,No
592739,ayPhCZIBPBHhf-iFqz6b,quantstudio 7 flex real time pcr system,Thermo Fisher Scientific,1063,No
590583,KCPhCZIBPBHhf-iFnQYw,lsm 510 meta confocal microscope,Zeiss,1063,No
779874,LiLhCZIBPBHhf-iFeOAr,luciferase assay kit,Promega,1063,No
778908,6iLhCZIBPBHhf-iFnfMu,odyssey clx imaging system,LI COR,1062,No
592964,dSPhCZIBPBHhf-iFqyyZ,spss software package,IBM,1062,No
591392,liLhCZIBPBHhf-iFeN0r,superscript 4 reverse transcriptase,Thermo Fisher Scientific,1061,No
580391,niLhCZIBPBHhf-iFnf4v,discovery mr750,GE Healthcare,1061,No
591043,5CLhCZIBPBHhf-iFnfQu,high capacity cdna archive kit,Thermo Fisher Scientific,1061,No
792713,fCLhCZIBPBHhf-iFeNQq,permount,Thermo Fisher Scientific,1060,No
572644,bCPhCZIBPBHhf-iFnRMx,hiseq 2500 sequencer,Illumina,1059,No
573094,YZ3FHJMBdNj1hjtAk11x,stata v 15,StataCorp,1057,No
592757,kSPhCZIBPBHhf-iFqzOa,protein g dynabead,Thermo Fisher Scientific,1056,No
578275,QiLhCZIBPBHhf-iFeNkq,lipopolysaccharide lps,Merck Group,1055,No
797652,fyLhCZIBPBHhf-iFnfMu,cd 1 mice,Charles River Laboratories,1053,No
842056,yCLhCZIBPBHhf-iFeNUq,statistica software,StatSoft,1052,No
877233,XSLhCZIBPBHhf-iFeOws,penicillin,Lonza,1050,No
726387,tSPhCZIBPBHhf-iFnRgy,γ 32p atp,PerkinElmer,1049,No
579301,jiLhCZIBPBHhf-iFnfku,sybr green master mix,Bio-Rad,1048,No
782052,oCLhCZIBPBHhf-iFeNAp,thermomixer,Eppendorf,1048,No
876923,uCPhCZIBPBHhf-iFqyGY,huvecs,Lonza,1045,No
890118,hCriCZIBPBHhf-iFSlPR,mabselect sure,Cytiva,1044,Yes
877234,USLhCZIBPBHhf-iFeNYq,streptomycin,Lonza,1042,No
793174,6CPhCZIBPBHhf-iFnREx,methylcellulose,Merck Group,1042,No
877710,KSPhCZIBPBHhf-iFqxqX,puromycin,InvivoGen,1040,No
782098,tiLhCZIBPBHhf-iFeM0p,vitek 2 system,bioMérieux,1039,No
572561,wiPhCZIBPBHhf-iFqxmX,facsaria cell sorter,BD,1038,No
791006,yiLhCZIBPBHhf-iFeN8r,gentamycin,Thermo Fisher Scientific,1038,No
579081,-SLhCZIBPBHhf-iFnfgu,trizol ls,Thermo Fisher Scientific,1037,No
876726,ECLhCZIBPBHhf-iFeNcq,tgf β1,R&D Systems,1036,No
791822,hiLhCZIBPBHhf-iFeOgs,tb green premix ex taq,Takara Bio,1036,No
591098,niPhCZIBPBHhf-iFqyCY,complete freund s adjuvant,Merck Group,1035,No
791191,kiLhCZIBPBHhf-iFeNwr,abi 7500,Thermo Fisher Scientific,1035,No
571746,3SPhCZIBPBHhf-iFqzqb,axio imager m2,Zeiss,1035,No
571829,LiLhCZIBPBHhf-iFeO0t,rneasy minelute cleanup kit,Qiagen,1034,No
783321,xyLhCZIBPBHhf-iFeOYs,tianamp genomic dna kit,Tiangen Biotech,1032,No
484390,QyLhCZIBPBHhf-iFeNIp,revertra ace,Toyobo,1031,No
579931,KCLhCZIBPBHhf-iFnfIu,matrigel matrix,Corning,1030,No
779495,mCLhCZIBPBHhf-iFeNEp,miseq instrument,Illumina,1030,No
592766,GiPhCZIBPBHhf-iFtE_J,facscalibur cytometer,BD,1030,No
792058,hCLhCZIBPBHhf-iFeNQq,oligomycin,Merck Group,1028,No
793631,SCLhCZIBPBHhf-iFeM4p,chloramphenicol,Merck Group,1028,No
425360,JCPhCZIBPBHhf-iFnQ0x,spss for windows version 22,IBM,1028,No
579549,lCLhCZIBPBHhf-iFnfUu,dulbecco s modified eagle s medium dmem,Merck Group,1026,No
590808,LCPhCZIBPBHhf-iFqx2X,axio observer z1 microscope,Zeiss,1025,No
790970,wSLhCZIBPBHhf-iFeN4r,fetal bovine serum (fbs),American Type Culture Collection,1025,No
571870,YSLhCZIBPBHhf-iFeOUs,tissue tek oct compound,Sakura Finetek,1023,No
782101,eSPhCZIBPBHhf-iFqzGa,pymol molecular graphics system,Schrödinger,1023,No
790591,tiPhCZIBPBHhf-iFnQIv,sigmaplot 12,Merck Group,1023,No
591527,RiLhCZIBPBHhf-iFeNUq,anti flag m2,Merck Group,1022,No
726546,ASLhCZIBPBHhf-iFeOss,t4 dna ligase,Thermo Fisher Scientific,1021,No
639568,VCLhCZIBPBHhf-iFeOgs,fluorescence microscopy,Olympus,1021,No
792861,IyLhCZIBPBHhf-iFnf8v,sodium borohydride,Merck Group,1021,No
637660,PiPhCZIBPBHhf-iFnQ4x,novaseq 6000 system,Illumina,1021,No
579083,MSLhCZIBPBHhf-iFeOgs,matrigel matrix,BD,1020,No
637853,diLhCZIBPBHhf-iFeO4t,rneasy plus kit,Qiagen,1019,No
573263,6ZoOdZQB1-hLfrUP8Sb4,caco 2,American Type Culture Collection,1018,No
592755,qyLhCZIBPBHhf-iFnfIu,maxima first strand cdna synthesis kit,Thermo Fisher Scientific,1018,No
591267,GyPhCZIBPBHhf-iFnRQx,rna 6000 nano kit,Agilent Technologies,1018,No
574066,7SPhCZIBPBHhf-iFqyqZ,hiseq 3000,Illumina,1018,No
792796,FSLhCZIBPBHhf-iFeNwr,axiovert 200,Zeiss,1017,No
790384,DSLhCZIBPBHhf-iFeNEp,sybr gold,Thermo Fisher Scientific,1016,No
779517,4CLhCZIBPBHhf-iFeNoq,hplc system,Shimadzu,1016,No
637659,ZCPhCZIBPBHhf-iFnQ0x,anti flag antibody,Merck Group,1016,No
573067,BSPhCZIBPBHhf-iFtE3J,spss v17,IBM,1015,No
876719,OSLhCZIBPBHhf-iFnfYu,ab8227,Abcam,1014,No
790452,1CPhCZIBPBHhf-iFqzCa,fluorescein isothiocyanate (fitc),Merck Group,1014,No
637653,wiPhCZIBPBHhf-iFnQMw,qiashredder,Qiagen,1014,No
571844,-iLhCZIBPBHhf-iFeNUq,dneasy powersoil kit,Qiagen,1013,No
572548,cyLhCZIBPBHhf-iFeO8t,revertaid h minus first strand cdna synthesis kit,Thermo Fisher Scientific,1011,No
640656,TiLhCZIBPBHhf-iFeNMq,vertex 70,Bruker,1011,No
428353,uJ3FHJMBdNj1hjtAk1xw,stata version 17,StataCorp,1010,No
579234,_iPhCZIBPBHhf-iFqySY,abi prism 7500,Thermo Fisher Scientific,1009,No
780025,_iLhCZIBPBHhf-iFeM4p,kapa library quantification kit,Roche,1008,No
792778,HSLhCZIBPBHhf-iFeNUq,aprotinin,Merck Group,1006,No
579383,TyPhCZIBPBHhf-iFxqtA,hplc grade methanol,Merck Group,1005,No
582927,ACLhCZIBPBHhf-iFeNUq,nanosight ns300,Malvern Panalytical,1004,No
732343,HiLhCZIBPBHhf-iFnfsv,jetprime,Polyplus Transfection,1003,No
794894,WCThCZIBPBHhf-iF1Ra6,lenti x concentrator,Takara Bio,1002,No
579287,FSLhCZIBPBHhf-iFeN4r,bx41 microscope,Olympus,1002,No
591049,kyLhCZIBPBHhf-iFeOAr,abi prism 7500 sequence detection system,Thermo Fisher Scientific,1002,No
590832,0SLhCZIBPBHhf-iFeNAp,uv 1800 spectrophotometer,Shimadzu,1001,No
577704,9SLhCZIBPBHhf-iFeO4t,enspire multimode plate reader,PerkinElmer,999,No
578154,6Z3FHJMBdNj1hjtAk191,quick rna miniprep kit,Zymo Research,998,No
779515,NiLhCZIBPBHhf-iFeOgs,cdna synthesis kit,Takara Bio,998,No
572951,ASLhCZIBPBHhf-iFePAt,spss 18,IBM,998,No
591282,fiLhCZIBPBHhf-iFeM8p,agilent rna 6000 nano kit,Agilent Technologies,997,No
583834,fyLhCZIBPBHhf-iFeOks,magnetom skyra,Siemens,996,No
797924,DCPhCZIBPBHhf-iFnQ8x,nano zs90,Malvern Panalytical,996,No
571722,YyLhCZIBPBHhf-iFnfIu,triton x 100,Thermo Fisher Scientific,995,No
590717,WCLhCZIBPBHhf-iFeOQr,qiaamp fast dna stool mini kit,Qiagen,995,No
579027,biPhCZIBPBHhf-iFtFjL,spss for windows version 20,IBM,994,No
790966,ziPhCZIBPBHhf-iFqxqX,countess automated cell counter,Thermo Fisher Scientific,994,No
754532,HyLhCZIBPBHhf-iFeOEr,image studio software,LI COR,991,No
648878,5iPhCZIBPBHhf-iFnQ8x,cyclin d1,Cell Signaling Technology,991,No
754805,RSPhCZIBPBHhf-iFnRcy,deadend fluorometric tunel system,Promega,989,No
790412,OCLhCZIBPBHhf-iFeOcs,pasw statistics 18,IBM,989,No
578133,sCPhCZIBPBHhf-iFqyaZ,quikchange site directed mutagenesis kit,Agilent Technologies,988,No
792082,aiLhCZIBPBHhf-iFeOIr,glycine,Merck Group,988,No
637509,TiPhCZIBPBHhf-iFnRQx,topo ta cloning kit,Thermo Fisher Scientific,986,No
876734,EyLhCZIBPBHhf-iFeNcq,tapestation,Agilent Technologies,986,No
572247,UyPhCZIBPBHhf-iFqyaY,pluronic f 127,Merck Group,985,No
793538,byLhCZIBPBHhf-iFnfYu,lysis buffer,Beyotime,984,No
637782,ACLhCZIBPBHhf-iFeNQq,minelute pcr purification kit,Qiagen,984,No
802894,EZ3FHJMBdNj1hjtAk2d9,clariostar,BMG Labtech,984,No
639126,z53FHJMBdNj1hjtAk11y,bz 9000,Keyence,982,No
876871,KiLhCZIBPBHhf-iFnfYu,ab9485,Abcam,982,No
794872,TCLhCZIBPBHhf-iFeOcs,avance 3,Bruker,981,No
592723,cSPhCZIBPBHhf-iFnQwx,live dead baclight bacterial viability kit,Thermo Fisher Scientific,981,No
790649,tyLhCZIBPBHhf-iFeM4p,zeocin,Thermo Fisher Scientific,981,No
571693,0CPhCZIBPBHhf-iFnQcw,alexa fluor 488 goat anti rabbit igg,Thermo Fisher Scientific,980,No
751949,iyPhCZIBPBHhf-iFtGTM,cytation 5,Agilent Technologies,980,No
790907,MSLhCZIBPBHhf-iFnfcu,axioplan 2 microscope,Zeiss,979,No
793982,YCLhCZIBPBHhf-iFeNsq,sybr green master mix,Takara Bio,979,No
572909,sCLhCZIBPBHhf-iFeOQs,instat 3,GraphPad,979,No
790557,bCPhCZIBPBHhf-iFtELH,polyethylenimine (pei),Merck Group,977,No
742886,oiLhCZIBPBHhf-iFnfcu,lymphoprep,STEMCELL,977,No
792497,-CLhCZIBPBHhf-iFeO4t,sybr green master mix,Roche,976,No
791393,CCPhCZIBPBHhf-iFnQMw,rutin,Merck Group,976,No
579996,xSLhCZIBPBHhf-iFeO0t,phorbol 12 myristate 13 acetate pma,Merck Group,975,No
637791,jSLhCZIBPBHhf-iFeN8r,mtt reagent,Merck Group,974,No
572552,jSPhCZIBPBHhf-iFqyiZ,mem non essential amino acid,Thermo Fisher Scientific,973,No
792087,nCPhCZIBPBHhf-iFqy2Z,dispase,Thermo Fisher Scientific,973,No
571815,RyLhCZIBPBHhf-iFeNkq,facsaria 2 cell sorter,BD,972,No
590333,kiPhCZIBPBHhf-iFtGbN,mouse anti β actin,Merck Group,971,No
590648,oiLhCZIBPBHhf-iFeOos,confocal laser scanning microscope,Leica,971,No
726710,nyLhCZIBPBHhf-iFeOss,taqman reverse transcription reagent,Thermo Fisher Scientific,971,No
591585,0yLhCZIBPBHhf-iFnf8v,synergy h1 microplate reader,Agilent Technologies,970,No
573519,piLhCZIBPBHhf-iFnf4v,flow cytometry,Beckman Coulter,969,No
726633,XiLhCZIBPBHhf-iFeOos,verso cdna synthesis kit,Thermo Fisher Scientific,968,No
726699,NCPhCZIBPBHhf-iFnQgw,hela cell,American Type Culture Collection,967,No
597239,jSLhCZIBPBHhf-iFePEt,ab181602,Abcam,967,No
726542,wyLhCZIBPBHhf-iFeOQs,random hexamer,Thermo Fisher Scientific,967,No
890975,5CLhCZIBPBHhf-iFeNIq,enhanced chemi luminescence (ecl),Cytiva,966,No
794764,GCLhCZIBPBHhf-iFnfYu,fetal bovine serum (fbs),Harvard Bioscience,965,No
792850,gyLhCZIBPBHhf-iFeNQq,antimycin a,Merck Group,965,No
781368,miLhCZIBPBHhf-iFeNEp,dual luciferase reporter system,Promega,964,No
572994,HiLhCZIBPBHhf-iFeOMr,rnaseout,Thermo Fisher Scientific,963,No
579085,ECThCZIBPBHhf-iF1QW4,lysotracker red dnd 99,Thermo Fisher Scientific,961,No
753780,TCPhCZIBPBHhf-iFnQUw,bcl 2,Abcam,961,No
592790,WSLhCZIBPBHhf-iFnf0v,supersignal west pico plus chemiluminescent substrate,Thermo Fisher Scientific,960,No
592761,ICLhCZIBPBHhf-iFeNkq,mini protean tgx gel,Bio-Rad,959,No
792577,hSPhCZIBPBHhf-iFtFPK,ipvh00010,Merck Group,955,No
792024,iiLhCZIBPBHhf-iFeN8r,blasticidin,Thermo Fisher Scientific,955,No
726089,xyLhCZIBPBHhf-iFeOMr,vectashield mounting medium with dapi,Vector Laboratories,955,No
877176,LiPhCZIBPBHhf-iFnQYw,ab150077,Abcam,955,No
592721,pyLhCZIBPBHhf-iFeM4p,protease and phosphatase inhibitor,Thermo Fisher Scientific,955,No
